Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2013-03-04 00:00:00,11.99,PO0190360UA005,828742.9718566218,5570242.922223306,41.0,29.01,223.0,29.075,28.0,POINT (828742.9718566218 5570242.922223306),[-188.49418],0.0,0,1,-182.0,31.4696092965724,2.3946092965724013
2013-01-08 00:00:00,6.98,PO019036NUA001,828386.5590429361,5570096.341373625,40.0,33.02,20.0,33.353953488372106,86.0,POINT (828386.5590429361 5570096.341373625),[-190.79382],0.0,0,1,20.0,31.51817828995688,-1.8357751984152273
2013-01-08 00:00:00,1.75,PO019040NRA001,844075.6911548966,5566454.963323257,30.0,28.25,10.0,27.81290697674419,86.0,POINT (844075.6911548966 5566454.963323257),[-258.84199],0.0,0,1,20.0,27.700940242072335,-0.11196673467185647
2015-06-17 00:00:00,1.06,PO019045NUP001,841244.3496079438,5578686.889009342,41.0,39.94,141.0,39.020566037735854,53.0,POINT (841244.3496079438 5578686.889009342),[-124.3746],0.0,0,1,-100.0,35.106806415321984,-3.9137596224138704
2013-01-07 00:00:00,2.69,PO019047NRA001,812833.1867820737,5592341.895715964,59.0,56.31,18.0,56.42287356321839,87.0,POINT (812833.1867820737 5592341.895715964),[-13.26431],0.0,0,1,41.0,57.59008858690325,1.1672150236848609
2013-01-07 00:00:00,1.55,PO019051NRA001,813391.5818157541,5576178.579083775,43.0,41.45,13.0,41.33827586206896,87.0,POINT (813391.5818157541 5576178.579083775),[-81.735401],0.0,0,1,30.0,41.33636863067373,-0.001907231395229303
2013-03-04 00:00:00,10.28,PO0190560U0563,833050.4253713341,5570208.336623674,42.0,31.72,164.0,31.633333333333333,30.0,POINT (833050.4253713341 5570208.336623674),[-177.52056],0.0,0,1,-122.0,30.390757566951436,-1.242575766381897
2014-06-10 00:00:00,2.66,PO019056NRA001,832548.1550098661,5569789.815201649,40.0,37.34,29.0,36.23055555555556,18.0,POINT (832548.1550098661 5569789.815201649),[-181.39626],0.0,0,1,11.0,30.41092928209877,-5.819626273456791
2013-01-07 00:00:00,3.81,PO019065NRA001,819026.6442335895,5581695.556809161,53.0,49.19,24.0,49.21702127659574,47.0,POINT (819026.6442335895 5581695.556809161),[-67.621375],0.0,0,1,29.0,42.51172247061684,-6.705298805978899
2013-01-08 00:00:00,1.6,PO019070NRA001,845852.2322349768,5574267.031962027,37.0,35.4,12.0,34.44602409638554,83.0,POINT (845852.2322349768 5574267.031962027),[-162.48498],0.0,0,1,25.0,29.38713620222862,-5.058887894156921
2013-01-08 00:00:00,2.75,PO019071NRA001,857755.2190489909,5569879.875679507,28.0,25.25,10.0,24.908117647058823,85.0,POINT (857755.2190489909 5569879.875679507),[-198.59449],0.0,0,1,18.0,25.99597584926443,1.0878582022056058
2013-01-07 00:00:00,2.54,PO019077NRA001,824769.4915887265,5579493.083882558,50.0,47.46,18.0,47.12011627906976,86.0,POINT (824769.4915887265 5579493.083882558),[-101.43344],0.0,0,1,32.0,38.148608107092365,-8.971508171977398
2014-06-11 00:00:00,0.4,PO019083NRA001,863815.160205188,5560217.68532118,19.0,18.6,20.0,18.192777777777778,18.0,POINT (863815.160205188 5560217.68532118),[-200.],0.0,0,1,-1.0,23.23264252503029,5.039864747252512
2013-01-09 00:00:00,3.38,PO019084NRA002,782462.1676781062,5603905.633895053,97.0,93.62,10.5,93.8779761904762,84.0,POINT (782462.1676781062 5603905.633895053),[0.],0.0,0,1,86.5,92.4153248025063,-1.462651387969899
2015-05-14 00:00:00,0.64,PO019088NRP001,807786.345633195,5581551.088092028,53.0,52.36,31.0,52.346250000000005,56.0,POINT (807786.345633195 5581551.088092028),[-50.],0.0,0,1,22.0,47.260133942120575,-5.08611605787943
2013-03-06 00:00:00,3.48,PO0190890U0892,838849.2890583422,5562260.707215712,33.0,29.52,189.0,29.45225806451614,31.0,POINT (838849.2890583422 5562260.707215712),[-293.7397],0.0,0,1,-156.0,27.449910793553215,-2.0023472709629253
2014-06-05 00:00:00,1.35,PO019089NUA001,836542.203494872,5562938.700690754,32.0,30.65,25.0,30.166,55.0,POINT (836542.203494872 5562938.700690754),[-270.70374],0.0,0,1,7.0,27.974103731800007,-2.1918962681999936
2013-01-08 00:00:00,3.77,PO019091NRA001,849554.1330317135,5562729.740183196,25.0,21.23,12.0,21.452470588235297,85.0,POINT (849554.1330317135 5562729.740183196),[-276.64793],0.0,0,1,13.0,26.542344922106082,5.089874333870785
2013-01-22 00:00:00,4.16,PO019094NU0944,797615.2782079141,5600927.347386415,88.0,83.84,46.0,83.43142857142857,84.0,POINT (797615.2782079141 5600927.347386415),[17.700592],0.0,0,1,42.0,83.25710953708435,-0.17431903434422225
2013-09-12 00:00:00,0.49,PO0191010U1012,866655.7218400885,5562005.794075646,19.0,18.51,126.0,18.455714285714286,21.0,POINT (866655.7218400885 5562005.794075646),[-200.],0.0,0,1,-107.0,22.7694065593503,4.313692273636015
2013-01-08 00:00:00,6.02,PO019103NRA001,829472.1133212384,5561631.096828193,33.0,26.98,12.0,27.276352941176462,85.0,POINT (829472.1133212384 5561631.096828193),[-210.49513],0.0,0,1,21.0,29.600094137735535,2.323741196559073
2013-03-06 00:00:00,4.91,PO0191080U0001,848652.194077875,5557764.844714656,28.0,23.09,94.5,23.16035714285714,28.0,POINT (848652.194077875 5557764.844714656),[-300.],0.0,0,1,-66.5,26.82482277442999,3.664465631572849
2013-01-07 00:00:00,2.51,PO019110NRA001,808728.4817627751,5590296.250966187,67.0,64.49,23.0,64.49036585365856,82.0,POINT (808728.4817627751 5590296.250966187),[-23.892654],0.0,0,1,44.0,55.16502986906584,-9.32533598459272
2013-01-17 00:00:00,9.94,PO098002NR0045,795153.0291784917,5579407.137967134,65.0,55.06,12.0,55.30216867469879,83.0,POINT (795153.0291784917 5579407.137967134),[-50.],0.0,0,1,53.0,50.32561950554167,-4.976549169157124
2013-01-22 00:00:00,3.54,PO098003NR0063,779869.6725794622,5594009.519290686,72.0,68.46,9.0,68.5798809523809,84.0,POINT (779869.6725794622 5594009.519290686),[0.],0.0,0,1,63.0,76.0954168209735,7.515535868592593
2015-06-11 00:00:00,6.09,PO0980100U0007,794394.6294881561,5575283.941883701,63.0,56.91,39.0,56.25790697674418,43.0,POINT (794394.6294881561 5575283.941883701),[-50.],0.0,0,1,24.0,47.66018830078771,-8.597718675956472
2014-01-01 00:00:00,4.0,PO0980110U0001,806756.2998716108,5566580.260244681,46.0,42.0,62.2999999999999,41.52640000000001,75.0,POINT (806756.2998716108 5566580.260244681),[-132.09987],0.0,0,1,-16.299999999999898,42.255313341673904,0.7289133416738949
2013-01-07 00:00:00,5.5,PO0980180U0001,775291.4494673493,5595403.356651348,89.0,83.5,55.0,83.48344444444443,90.0,POINT (775291.4494673493 5595403.356651348),[0.],0.0,0,1,34.0,81.62555139332864,-1.857893051115795
2013-01-07 00:00:00,5.4,PO0980200U0001,778405.0456640738,5602523.679835463,99.0,93.6,80.0,93.31382022471908,89.0,POINT (778405.0456640738 5602523.679835463),[5.6937736],0.0,0,1,19.0,90.42362654930095,-2.890193675418132
2013-01-07 00:00:00,5.3,PO0980200U0003,778099.6954235823,5602666.111833756,99.0,93.7,41.0,93.1565060240964,83.0,POINT (778099.6954235823 5602666.111833756),[9.4681846],0.0,0,1,58.0,90.77918264597866,-2.3773233781177368
